書名,作者,出版社,出版日期,ISBN/EAN,product_id
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧 (附限量納瓦爾最新智慧語錄拉頁)","謝佩妏,艾瑞克．喬根森,Eric Jorgenson,傑克．布徹,Jack Butcher",天下雜誌股份有限公司,2025-02-04,4717211037577,10012030392682827161003
日花閃爍: 台語的美麗詞彙&一百首詩,温若喬,時報文化出版企業股份有限公司,2026-01-05,9786264199926,10012010632683056251008
在小山和小山之間: 故事大爆炸年度首獎之作,李停,悅知文化,2026-01-25,9786267721834,10012122082683075462003
別再騙自己: 把日子過得更清醒的101個提示,"七七,西蒙．吉勒姆,Happieslin,Simon Gilham",三采文化股份有限公司,2025-09-04,9786263587564,10012014082682972728007
"99%的人輸在不會表達: 話說對了, 事就成了。公司裡該怎麼說話? 麻煩就沒了。",李勁,大是文化有限公司,2018-06-27,9789579164337,1001191562686239
"Rewire-神經可塑性: 用神經科學突破行為模式迴圈, 終結焦慮、恐慌和憂鬱, 實現最佳的心理健康","妮可．維諾拉,梁永安,Nicole Vignola",麥田出版社,2024-05-31,9786263106659,10012013192682577301001
少年臺灣史 (2019年增訂版),"許書寧,周婉窈",玉山社出版事業股份有限公司,2019-09-19,9789862942420,1003119012795098
"全新! 新制多益TOEIC單字大全: 備考多益唯一推薦權威單字書! 不論題型如何變化, 內容持續更新, 常考字彙表達完全掌握, 準確度最高! (附QR碼)","데이비드 조,許竹瑩/ 張育菁,David Cho",國際學村出版社,2022-08-03,9789864542284,1001260442682214680001
"刪掉容易, 忘掉很難",林思齊,時報文化出版企業股份有限公司,2026-01-19,9786264441049,10012010632683071128002
"這僅有一次的人生, 一定要讀蘇東坡: 不管你遇到了什麼, 一句蘇東坡就能療癒。",費勇,大是文化有限公司,2023-01-29,9786267192870,1001191562682321418009
惡靈剋星 6 (首刷限定版),"新翔子,羅筱君",東立出版社有限公司,2026-02-04,9786260263294,10012150962683074431000
海邊的房間,黃麗群,時報文化出版企業股份有限公司,2024-07-29,9786263965126,10012010632682600065009
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧","謝佩妏,艾瑞克．喬根森,Eric Jorgenson",天下雜誌股份有限公司,2024-01-03,9789863989493,10012030392682502174007
SAKAMOTO DAYS坂本日常 24 (首刷限定版),"陳姿君,鈴木祐斗",東立出版社有限公司,2026-03-01,9786260267087,10012150962683087745002
原子習慣: 細微改變帶來巨大成就的實證法則,"詹姆斯．克利爾,蔡世偉,James Clear",方智出版社股份有限公司,2019-05-31,9789861755267,1001112702764163
擁有過 就好: 告別青春的最後一封情書,黃山料,三采文化股份有限公司,2025-11-30,9786263587922,10012014082683030027001
SPY X FAMILY間諜家家酒 16 (首刷限定版),"陳姿君,遠藤達哉",東立出版社有限公司,2026-02-11,9786260267070,10012150962683072484008
"從破產人生逆襲到財務自由: 你一定要懂的財商真相, 36個翻轉心法把人生找回來",李文森,時報文化出版企業股份有限公司,2026-02-09,9786264442312,10012010632683083731009
"世界盡頭的咖啡館: 這一生, 我為何而存在?","Elsa,約翰．史崔勒基,John Strelecky",三采文化股份有限公司,2025-02-26,9786263585959,10012014082682834236008
蛤蟆先生去看心理師 (附蛤蟆先生勇氣藏書卡組),"張美惠,Robert de Board,Dinner Illustration,羅伯．狄保德",三采文化股份有限公司,2022-01-25,9789576587399,1001119732682122365007
王思迅人生講座套書: 易經白話講座+金剛經白話講座 (2冊合售),王思迅,如果出版,2025-09-09,9786267752388,10012117772682988580002
鏈鋸人 22 (首刷限定版),"吳勵誠,藤本樹",東立出版社有限公司,2026-02-05,9786260265595,10012150962683070404008
窮查理的普通常識: 巴菲特50年智慧合夥人查理．蒙格的人生哲學 (紀念典藏版),"Charles T. Munger,查理．蒙格,Peter Kaufman,彼得．考夫曼,李彔/ 李繼宏/ 編譯",商業周刊,2024-04-29,9786267366882,10012172932682559368008
"勇敢告別的人, 生活會獎勵一場新的開始",Peter Su,是日創意文化有限公司,2025-11-29,9786269256778,10012030392683039753000
請解開故事謎底 5 (2026珍愛特裝組),"花於景 (雷雷夥伴),PP",魔豆文化有限公司,2026-02-10,4711099774371,10012084862683085270001
擁有過 就好: 告別青春的最後一封情書 (限量親簽版),黃山料,三采文化股份有限公司,2025-11-30,4711528700902,10012014082683030028008
學校不會教的人生課: 怡慧老師的實踐成長學 (誠品獨家書衣親簽版),宋怡慧,平安文化有限公司,2026-03-01,1000007859075,10012020052683094668004
"持續買進: 資料科學家的投資終極解答, 存錢及致富的實證方法","Nick Maggiulli,李芳齡,尼克．馬朱利",商業周刊,2023-05-29,9786267252710,1001247312682383434009
"最新! 新制TOEIC多益閱讀題庫解析: 最新收錄精準10回模擬試題! 每月進場實測分析、完整傳授答題技巧, 黃金證書手到擒來! (附單字音檔下載QRCode/2冊合售)","Hackers Academia,Tina",國際學村出版社,2024-07-03,9789864543687,10012016082682596274003
我可能錯了: 森林智者的最後一堂人生課,"Björn Natthiko Lindeblad/ Caroline Bankler/ Navid Modiri,郭騰堅,Tomás Sánchez,比約恩．納提科．林德布勞/ 卡洛琳．班克勒/ 納維德．莫迪里",先覺出版股份有限公司,2023-01-31,9789861344454,1001124182682324108006
紀律長贏: 揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,遠見天下文化出版股份有限公司,2026-01-29,9786264177443,10012030542683076169000
金剛經白話講座: 放下的人生修行,王思迅,如果出版,2025-07-27,9786267752111,10012117772682949728009
"看穿內心情緒的行為暗示心理學: 頂尖心理學家證實, 99%人能看透的50招讀心術","郭欣怡,內藤誼人",方言文化出版事業有限公司,2018-04-10,9789869617550,1001183572666954
喔! 原來我們都痛裡學會了愛,陳薇,是日創意文化有限公司,2026-02-05,9786269256792,10012030392683078702007
臺灣歷史圖說,周婉窈,聯經出版事業股份有限公司,2025-10-01,9789570878059,10012010042683011783001
請解開故事謎底 5,"PP,花於景",魔豆文化有限公司,2026-02-03,9786267542408,10012046692683085141004
把日子慢慢變好,黃山料,三采文化股份有限公司,2024-10-31,9786263585003,10012014082682657441009
特殊傳說 III 11 (2026珍愛特裝組),"護玄,紅麟",蓋亞文化有限公司,2026-02-10,4711099774364,10012084862683085265007
"富爸爸, 窮爸爸 (25週年紀念版)","MTS翻譯團隊,羅勃特．T．清崎,Robert T. Kiyosaki",英屬維京群島商高寶國際有限公司台灣分公司,2022-09-13,9789865064679,1001123032682251788005
葬送的芙莉蓮 15,"阿部司,里歐貝萊,山田鐘人/ 原作; 阿部司",東立出版社有限公司,2026-01-28,9786260267278,10012150962683070415004
被討厭的勇氣: 自我啟發之父阿德勒的教導,"岸見一郎/ 古賀史健,葉小燕",究竟出版社股份有限公司,2014-10-29,9789861371955,1001136022367152
底層邏輯: 看清這個世界的底牌,劉潤,時報文化出版企業股份有限公司,2022-03-28,9786263350717,1001110932682144182002
國插週報大全 全五冊終極盒裝套書: 家事×職場×生活×怪事×感情 (典藏版/超值贈我真的要興奮死了鑰匙圈+國插週報紀念報紙/5冊合售),Cherng,時報文化出版企業股份有限公司,2026-02-02,4711441074364,10012010632683078556006
"世界上最神奇的24堂課: 全世界唯一一本, 因為揭露致富秘訣而被查禁的書!","靜濤,Charles F.Haanel,查爾斯．哈奈爾",海鷹文化,2023-06-28,9789863924937,10012016082682399394007
"財富自由心理學: 療癒金錢焦慮, 修練致富心態 (附限量三步驟財富自由實戰計畫)",蔡宇哲/ 郝旭烈,遠見天下文化出版股份有限公司,2026-01-26,4711488874002,10012030542683079404009
"主角模式: 從我得這樣到我可以選擇, 影響7500萬人的成長祕密",樊登,金尉股份有限公司,2026-01-07,9786267549438,10012011762683051712009
長期買進: 財金教授周冠男的42堂自制力投資課,周冠男,遠見天下文化出版股份有限公司,2024-07-30,9786263558434,10012030542682614097003
薰香花朵凛然綻放 16 (首刷限定版),"三香見SAKA,羅筱君",東立出版社有限公司,2026-03-01,9786260268589,10012150962683087740007
張忠謀自傳全集 上下冊 (2冊合售),張忠謀,遠見天下文化出版股份有限公司,2024-11-28,4713510944905,10012030542682732135007
SAKAMOTO DAYS坂本日常 23 (首刷限定版),"鈴木祐斗,陳姿君",東立出版社有限公司,2026-02-11,9786260264000,10012150962683074437002
絕叫: 日本推理四大獎、現象級小說經典復活!,"林佩瑾,葉真中顯",圓神出版社有限公司,2025-11-30,9789861339986,10012036172683041432009
"最新! 新制多益TOEIC聽力題庫解析: 最新收錄精準10回模擬試題!完整反映命題趨勢、大幅提升應考能力, 黃金證書手到擒來! (附2MP3/模擬試題/單題分割/單字記憶3種版本/QRCode)","Hackers Academia,許竹瑩/ 談采薇",國際學村出版社,2024-07-03,9789864543632,10012016082682595339000
"讓上司挺你、朋友懂你, 跟誰都能聊不停的回話技術: 談判、責罵、提案、請託, 40個讓人欲罷不能、拍手叫好的臨場說話術","福田健,鍾嘉惠",采實文化事業股份有限公司,2014-10-22,9789865683177,1001251382367480
財商: 不費力才會贏 (作者親簽版),吳淡如,時報文化出版企業股份有限公司,2026-01-19,4711441074340,10012010632683071138001
致富心態: 關於財富、貪婪與幸福的20堂理財課 (全球暢銷千萬增訂版),"Morgan Housel,摩根．豪瑟,周玉文/ 林俊宏",遠見天下文化出版股份有限公司,2026-02-02,9786264177917,10012030542683083746003
十月堂舊書事 2,"陳思朵,兒島青",台灣角川股份有限公司,2026-02-03,9786264359238,10012011762683064047006
簡明台灣人四百年史 (圖文精華版),史明,前衛出版社,2017-10-31,9789578018273,1001116222632167
非暴力溝通: 愛的語言 (全新修訂版),"蕭寶森,馬歇爾．盧森堡,Marshall B. Rosenberg",光啓文化事業,2024-07-15,9789575469078,1001111072787487
日本語GOGOGO 1 (增訂版),財團法人語言訓練測驗中心,豪風出版有限公司,2021-09-28,9789860612684,1001129492682062072003
惡靈剋星 5 (首刷限定版),"新翔子,羅筱君",東立出版社有限公司,2026-01-14,9786260259983,10012150962683048461002
地。關於地球的運動 1-8 (豪華盒裝版/8冊合售),"魚豊,SCALY",尖端出版,2026-07-14,9786264349123,10012116312683082645000
排球少年!! REMIX版 2 (首刷附錄版),"陳姿君,古舘春一",東立出版社有限公司,2026-01-29,9786260260057,10012150962683070405005
人際關係的思維槓桿: 打造深刻連結的26個支點,王宏嘉 (米克)/ 陳卓凡 (麥可),遠見天下文化出版股份有限公司,2026-01-29,9786264177368,10012030542683079398001
進烤箱的好日子,李佳穎,自轉星球文化創意事業有限公司,2024-06-30,9789869202176,10012030392682598702009
在小山和小山之間: 故事大爆炸年度首獎之作 (限量作者親簽版),李停,悅知文化,2026-01-25,4711510765346,10012122082683075463000
"做自己的太陽, 去看你想看的星星和月亮",角子,平裝本出版有限公司,2025-11-30,9786269262441,10012020052683042320008
人間失格 (典藏版),"劉文瑄,太宰治,劉子倩",漫遊者文化事業股份有限公司,2018-05-07,9789864892662,1001180772673998
職安一點通: 職業安全衛生管理乙級檢定完勝攻略 (2026版/2冊合售),蕭中剛/ 劉鈞傑/ 鄭技師/ 賴秋琴/ 徐英洲/ 江軍/ 葉日宏,碁峰資訊股份有限公司,2026-02-10,9786264252553,10012011762683089019002
難以承受的悸動是戀愛嗎? 3 (首刷限定版),"空華みあ,小春日和",台灣東販股份有限公司,2026-02-03,4714453010528,10012011762683068655009
SPY X FAMILY間諜家家酒 16,"遠藤達哉,陳姿君",東立出版社有限公司,2026-02-11,9786260264031,10012150962683072483001
"小鳥與理夢人: 本屋大賞作家小川糸全新挑戰, 猶如護身符般的感淚之作! (限量作者親簽版)","王蘊潔,小川糸",悅知文化,2026-02-01,4711510765469,10012122082683078266004
轉型正義之路: 島嶼的過去與未來 (2022年增訂版),"蔡明雲,周婉窈",玉山社出版事業股份有限公司,2022-12-11,9789862943359,1001119012682312080000
惡靈剋星 2 (首刷限定版),"羅筱君,新翔子",東立出版社有限公司,2025-03-31,9786260244835,10012150962682854045000
地縛少年花子君 25 (首刷限定版),"曾怡華,あいだいろ",東立出版社有限公司,2026-03-04,9786260266295,10012150962683082016008
傲慢與偏見 (200週年紀念版),"珍．奧斯汀,張思婷,Jane Austen",漫遊者文化事業股份有限公司,2015-09-07,9789865671655,1001180772448113
"人生只有兩件事, 關你屁事和關我屁事 (暢銷典藏改版)",老楊的貓頭鷹,英屬維京群島商高寶國際有限公司台灣分公司,2025-10-21,9786264023368,10012017642683016249007
冠軍之路: 2024世界棒球12強賽感動全紀錄聯名電影書 (附首刷熱血應援透卡組),曾文誠/ 陳祖安,遠流出版事業股份有限公司,2026-01-28,4719025013303,10012010302683075187005
矛盾,"胡椒筒,梁貴子,양귀자",漫遊者文化事業股份有限公司,2026-01-04,9786264091886,10012122452683065209007
"活用技術分析寶典: 飆股上校朱家泓40年實戰精華, 從K線、均線到交易高手的養成祕笈 上、下冊 (2冊合售)",朱家泓,金尉股份有限公司,2024-11-20,9786267549087,10012011762682664727004
"長女病: 我們不是天生愛扛責任, 台灣跨世代女兒的故事",張慧慈 (小花媽),游擊文化股份有限公司,2025-03-31,9786269917488,10012012142682855570006
"抄寫英語的奇蹟: 1天10分鐘, 英語和人生都起飛",林熙 Brett Lindsay,如何出版社有限公司,2024-02-29,9789861366838,10012036172682524841000
葬送的芙莉蓮公式漫迷手冊 (全),"山田鐘人/ 原作; 阿部司,阿部司,里歐貝萊",東立出版社有限公司,2026-01-14,9786260237530,10012150962683055287008
"自學日語: 看完這本就能說! 專為華人設計的日語教材, 50音+筆順+單字+文法+會話一次學會! (附QR碼線上音檔/真人發音教學影片)",許心瀠,語研學院,2020-12-09,9789869878494,1001271692681949005004
難以承受的悸動是戀愛嗎? 4,"空華みあ,小春日和",台灣東販股份有限公司,2026-02-24,9786264373777,10012011762683079656002
活出你的本來面目: 獻給現代人的榮格心靈指南,鐘穎,三采文化股份有限公司,2025-10-31,9786263587854,10012014082683016621001
葬送的芙莉蓮 13,"山田鐘人/ 原作; 阿部司,阿部司,里歐貝萊",東立出版社有限公司,2024-07-24,9786260216481,10012150962682602544007
特殊傳說 III 11,"紅麟,護玄",蓋亞文化有限公司,2026-02-03,9786263842762,10012046692683084091003
重返世界盡頭的咖啡館: 我想要的人生是什麼?,"John Strelecky,約翰．史崔勒基,郭庭瑄",三采文化股份有限公司,2026-01-29,9786263588639,10012014082683075102008
惡靈剋星 4 (首刷限定版),"羅筱君,新翔子",東立出版社有限公司,2025-07-23,9786260249793,10012150962682922950007
日本語GOGOGO 1 練習帳 (增訂版),財團法人語言訓練測驗中心,豪風出版有限公司,2022-03-29,9786269542109,1001129492682150083003
青春之箱 22 (首刷限定版),"三浦糀,方奕勝",東立出版社有限公司,2026-02-23,9786260264864,10012150962683077495009
"戀愛吧, 假面天使! 5 (首刷限定版)","卯月coco,曾怡華",東立出版社有限公司,2026-02-05,9786260263058,10012150962683070412003
摘柿記,林琪香,木馬文化事業有限公司,2025-06-03,9786263148215,10012043902682910506001
與成功有約: 高效能人士的七個習慣 (30週年全新增訂版),"史蒂芬．柯維/ 西恩．柯維,顧淑馨,Stephen R. Covey/ Sean Covey",遠見天下文化出版股份有限公司,2020-10-29,9789865535667,1001122732681932627008
"我畢業五年, 用ETF賺到400萬: 每月1, 000元就能開始! 不用兼差斜槓, 兩檔ETF投資組合, 年賺20%以上",PG財經筆記,大是文化有限公司,2019-12-30,9789579654609,1001191562813505
葬送的芙莉蓮 1,"阿部司 (アベ ツカサ),山田鐘人/ 原作; 阿部司,里歐貝萊,アベ ツカサ",東立出版社有限公司,2021-05-19,9789572666029,1001129222682007204001
進烤箱的好日子 (破萬限量紀念少女阿丹版),李佳穎,自轉星球文化創意事業有限公司,2025-06-30,9670528081105,10012030392682925920007
解答之書: 專屬於你的人生答案,"心心,Carol Bolt (卡罗尔．博尔特),卡羅．波特",三采文化股份有限公司,2018-11-29,9789576580833,1001119732726161
一個普通人如何守住財富與人生: 畢德歐夫帶你搞懂資產配置、老後風險與代間傳承,畢德歐夫,先覺出版股份有限公司,2026-02-28,9789861345666,10012036172683095832008
親愛的馬克瑪麗 3 Re: 原生家庭,"吳瑪麗,歐馬克",三采文化股份有限公司,2026-01-29,9786263588035,10012014082683075101001
