書名,ISBN/EAN,作者,出版社,product_id
別再騙自己: 把日子過得更清醒的101個提示,9786263587564 ,西蒙．吉勒姆,,10012014082682900000000 
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧 (附限量納瓦爾最新智慧語錄拉頁)",4717211037577 ,艾瑞克．喬根森,,10012030392682800000000 
日花閃爍: 台語的美麗詞彙&一百首詩,9786264199926 ,温若喬,,10012010632683000000000 
在小山和小山之間: 故事大爆炸年度首獎之作,9786267721834 ,李停,,10012122082683000000000 
"99%的人輸在不會表達: 話說對了, 事就成了。公司裡該怎麼說話? 麻煩就沒了。",9789579164337 ,李勁,,1001191562686230 
"Rewire-神經可塑性: 用神經科學突破行為模式迴圈, 終結焦慮、恐慌和憂鬱, 實現最佳的心理健康",9786263106659 ,妮可．維諾拉,,10012013192682500000000 
鏈鋸人 22 (首刷限定版),9786260265595 ,藤本樹,,10012150962683000000000 
惡靈剋星 6 (首刷限定版),9786260263294 ,新翔子,,10012150962683000000000 
"全新! 新制多益TOEIC單字大全: 備考多益唯一推薦權威單字書! 不論題型如何變化, 內容持續更新, 常考字彙表達完全掌握, 準確度最高! (附QR碼)",9789864542284 ,David Cho,,1001260442682210000000 
"刪掉容易, 忘掉很難",9786264441049 ,林思齊,,10012010632683000000000 
"這僅有一次的人生, 一定要讀蘇東坡: 不管你遇到了什麼, 一句蘇東坡就能療癒。",9786267192870 ,費勇,,1001191562682320000000 
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧",9789863989493 ,艾瑞克．喬根森,,10012030392682500000000 
王思迅人生講座套書: 易經白話講座+金剛經白話講座 (2冊合售),9786267752388 ,王思迅,,10012117772682900000000 
少年臺灣史 (2019年增訂版),9789862942420 ,周婉窈,,1003119012795090 
原子習慣: 細微改變帶來巨大成就的實證法則,9789861755267 ,詹姆斯．克利爾,,1001112702764160 
紀律長贏: 揭開清大校務基金操盤人風險控管與穩定獲利的策略,9786264177443 ,林哲群,,10012030542683000000000 
海邊的房間,9786263965126 ,黃麗群,,10012010632682600000000 
擁有過 就好: 告別青春的最後一封情書,9786263587922 ,黃山料,,10012014082683000000000 
"世界盡頭的咖啡館: 這一生, 我為何而存在?",9786263585959 ,約翰．史崔勒基,,10012014082682800000000 
"從破產人生逆襲到財務自由: 你一定要懂的財商真相, 36個翻轉心法把人生找回來",9786264442312 ,李文森,,10012010632683000000000 
擁有過 就好: 告別青春的最後一封情書 (限量親簽版),4711528700902 ,黃山料,,10012014082683000000000 
蛤蟆先生去看心理師 (附蛤蟆先生勇氣藏書卡組),9789576587399 ,羅伯．狄保德,,1001119732682120000000 
窮查理的普通常識: 巴菲特50年智慧合夥人查理．蒙格的人生哲學 (紀念典藏版),9786267366882 ,查理．蒙格,,10012172932682500000000 
SPY X FAMILY間諜家家酒 16 (首刷限定版),9786260267070 ,遠藤達哉,,10012150962683000000000 
"勇敢告別的人, 生活會獎勵一場新的開始",9786269256778 ,Peter Su,,10012030392683000000000 
國插週報大全 全五冊終極盒裝套書: 家事×職場×生活×怪事×感情 (典藏版/超值贈我真的要興奮死了鑰匙圈+國插週報紀念報紙/5冊合售),4711441074364 ,Cherng,,10012010632683000000000 
請解開故事謎底 5 (2026珍愛特裝組),4711099774371 ,花於景 (雷雷夥伴),,10012084862683000000000 
金剛經白話講座: 放下的人生修行,9786267752111 ,王思迅,,10012117772682900000000 
我可能錯了: 森林智者的最後一堂人生課,9789861344454 ,比約恩．納提科．林德布勞/ 卡洛琳．班克勒/ 納維德．莫迪里,,1001124182682320000000 
請解開故事謎底 5,9786267542408 ,花於景,,10012046692683000000000 
"持續買進: 資料科學家的投資終極解答, 存錢及致富的實證方法",9786267252710 ,尼克．馬朱利,,1001247312682380000000 
學校不會教的人生課: 怡慧老師的實踐成長學 (誠品獨家書衣親簽版),1000007859075 ,宋怡慧,,10012020052683000000000 
"最新! 新制TOEIC多益閱讀題庫解析: 最新收錄精準10回模擬試題! 每月進場實測分析、完整傳授答題技巧, 黃金證書手到擒來! (附單字音檔下載QRCode/2冊合售)",9789864543687 ,Hackers Academia,,10012016082682500000000 
喔! 原來我們都痛裡學會了愛,9786269256792 ,陳薇,,10012030392683000000000 
"看穿內心情緒的行為暗示心理學: 頂尖心理學家證實, 99%人能看透的50招讀心術",9789869617550 ,內藤誼人,,1001183572666950 
葬送的芙莉蓮 15,9786260267278 ,山田鐘人/ 原作; 阿部司,,10012150962683000000000 
惡靈剋星 5 (首刷限定版),9786260259983 ,新翔子,,10012150962683000000000 
把日子慢慢變好,9786263585003 ,黃山料,,10012014082682600000000 
寫進時間的故事 (限量親簽版/附首刷寫時明信片/隨機出貨),4711132385922 ,許瑋甯,,10012010042683000000000 
張忠謀自傳全集 上下冊 (2冊合售),4713510944905 ,張忠謀,,10012030542682700000000 
SAKAMOTO DAYS坂本日常 24 (首刷限定版),9786260267087 ,鈴木祐斗,,10012150962683000000000 
"戀愛吧, 假面天使! 5 (首刷限定版)",9786260263058 ,卯月coco,,10012150962683000000000 
特殊傳說 III 11 (2026珍愛特裝組),4711099774364 ,護玄,,10012084862683000000000 
臺灣歷史圖說,9789570878059 ,周婉窈,,10012010042683000000000 
職安一點通: 職業安全衛生管理乙級檢定完勝攻略 (2026版/2冊合售),9786264252553 ,蕭中剛/ 劉鈞傑/ 鄭技師/ 賴秋琴/ 徐英洲/ 江軍/ 葉日宏,,10012011762683000000000 
"世界上最神奇的24堂課: 全世界唯一一本, 因為揭露致富秘訣而被查禁的書!",9789863924937 ,查爾斯．哈奈爾,,10012016082682300000000 
"財富自由心理學: 療癒金錢焦慮, 修練致富心態 (附限量三步驟財富自由實戰計畫)",4711488874002 ,蔡宇哲/ 郝旭烈,,10012030542683000000000 
底層邏輯: 看清這個世界的底牌,9786263350717 ,劉潤,,1001110932682140000000 
十月堂舊書事 2,9786264359238 ,兒島青,,10012011762683000000000 
"富爸爸, 窮爸爸 (25週年紀念版)",9789865064679 ,羅勃特．T．清崎,,1001123032682250000000 
長期買進: 財金教授周冠男的42堂自制力投資課,9786263558434 ,周冠男,,10012030542682600000000 
"讓上司挺你、朋友懂你, 跟誰都能聊不停的回話技術: 談判、責罵、提案、請託, 40個讓人欲罷不能、拍手叫好的臨場說話術",9789865683177 ,福田健,,1001251382367480 
被討厭的勇氣: 自我啟發之父阿德勒的教導,9789861371955 ,岸見一郎/ 古賀史健,,1001136022367150 
"主角模式: 從我得這樣到我可以選擇, 影響7500萬人的成長祕密",9786267549438 ,樊登,,10012011762683000000000 
財商: 不費力才會贏 (作者親簽版),4711441074340 ,吳淡如,,10012010632683000000000 
"最新! 新制多益TOEIC聽力題庫解析: 最新收錄精準10回模擬試題!完整反映命題趨勢、大幅提升應考能力, 黃金證書手到擒來! (附2MP3/模擬試題/單題分割/單字記憶3種版本/QRCode)",9789864543632 ,Hackers Academia,,10012016082682500000000 
非暴力溝通: 愛的語言 (全新修訂版),9789575469078 ,馬歇爾．盧森堡,,1001111072787480 
絕叫: 日本推理四大獎、現象級小說經典復活!,9789861339986 ,葉真中顯,,10012036172683000000000 
地。關於地球的運動 1-8 (豪華盒裝版/8冊合售),9786264349123 ,魚豊,,10012116312683000000000 
排球少年!! REMIX版 2 (首刷附錄版),9786260260057 ,古舘春一,,10012150962683000000000 
SAKAMOTO DAYS坂本日常 23 (首刷限定版),9786260264000 ,鈴木祐斗,,10012150962683000000000 
人際關係的思維槓桿: 打造深刻連結的26個支點,9786264177368 ,王宏嘉 (米克)/ 陳卓凡 (麥可),,10012030542683000000000 
"小鳥與理夢人: 本屋大賞作家小川糸全新挑戰, 猶如護身符般的感淚之作! (限量作者親簽版)",4711510765469 ,小川糸,,10012122082683000000000 
日本語GOGOGO 1 (增訂版),9789860612684 ,財團法人語言訓練測驗中心,,1001129492682060000000 
致富心態: 關於財富、貪婪與幸福的20堂理財課 (全球暢銷千萬增訂版),9786264177917 ,摩根．豪瑟,,10012030542683000000000 
在小山和小山之間: 故事大爆炸年度首獎之作 (限量作者親簽版),4711510765346 ,李停,,10012122082683000000000 
冠軍之路: 2024世界棒球12強賽感動全紀錄聯名電影書 (附首刷熱血應援透卡組),4719025013303 ,曾文誠/ 陳祖安,,10012010302683000000000 
人間失格 (典藏版),9789864892662 ,太宰治,,1001180772673990 
難以承受的悸動是戀愛嗎? 3 (首刷限定版),4714453010528 ,空華みあ,,10012011762683000000000 
簡明台灣人四百年史 (圖文精華版),9789578018273 ,史明,,1001116222632160 
特殊傳說 III 11,9786263842762 ,護玄,,10012046692683000000000 
"做自己的太陽, 去看你想看的星星和月亮",9786269262441 ,角子,,10012020052683000000000 
摘柿記,9786263148215 ,林琪香,,10012043902682900000000 
"人生只有兩件事, 關你屁事和關我屁事 (暢銷典藏改版)",9786264023368 ,老楊的貓頭鷹,,10012017642683000000000 
惡靈剋星 2 (首刷限定版),9786260244835 ,新翔子,,10012150962682800000000 
進烤箱的好日子,9789869202176 ,李佳穎,,10012030392682500000000 
轉型正義之路: 島嶼的過去與未來 (2022年增訂版),9789862943359 ,周婉窈,,1001119012682310000000 
"活用技術分析寶典: 飆股上校朱家泓40年實戰精華, 從K線、均線到交易高手的養成祕笈 上、下冊 (2冊合售)",9786267549087 ,朱家泓,,10012011762682600000000 
葬送的芙莉蓮公式漫迷手冊 (全),9786260237530 ,山田鐘人/ 原作; 阿部司,,10012150962683000000000 
傲慢與偏見 (200週年紀念版),9789865671655 ,珍．奧斯汀,,1001180772448110 
葬送的芙莉蓮 13,9786260216481 ,山田鐘人/ 原作; 阿部司,,10012150962682600000000 
"抄寫英語的奇蹟: 1天10分鐘, 英語和人生都起飛",9789861366838 ,林熙 Brett Lindsay,,10012036172682500000000 
SPY X FAMILY間諜家家酒 16,9786260264031 ,遠藤達哉,,10012150962683000000000 
"長女病: 我們不是天生愛扛責任, 台灣跨世代女兒的故事",9786269917488 ,張慧慈 (小花媽),,10012012142682800000000 
矛盾,9786264091886 ,梁貴子,,10012122452683000000000 
惡靈剋星 4 (首刷限定版),9786260249793 ,新翔子,,10012150962682900000000 
"自學日語: 看完這本就能說! 專為華人設計的日語教材, 50音+筆順+單字+文法+會話一次學會! (附QR碼線上音檔/真人發音教學影片)",9789869878494 ,許心瀠,,1001271692681940000000 
解答之書: 專屬於你的人生答案,9789576580833 ,卡羅．波特,,1001119732726160 
小書痴的下剋上Fanbook 9: 為了成為圖書管理員不擇手段!,9789573343882 ,香月美夜,,10012020052683000000000 
活出你的本來面目: 獻給現代人的榮格心靈指南,9786263587854 ,鐘穎,,10012014082683000000000 
與成功有約: 高效能人士的七個習慣 (30週年全新增訂版),9789865535667 ,史蒂芬．柯維/ 西恩．柯維,,1001122732681930000000 
葬送的芙莉蓮 9,9786263473713 ,山田鐘人/ 原作; 阿部司,,1001129222682300000000 
葬送的芙莉蓮 1,9789572666029 ,山田鐘人/ 原作; 阿部司,,1001129222682000000000 
小書痴的下剋上: 為了成為圖書管理員不擇手段! 短篇集 III,9789573343899 ,香月美夜,,10012020052683000000000 
"我畢業五年, 用ETF賺到400萬: 每月1, 000元就能開始! 不用兼差斜槓, 兩檔ETF投資組合, 年賺20%以上",9789579654609 ,PG財經筆記,,1001191562813500 
"想哭就哭吧, 你不需要那麼懂事",9786269847983 ,Peter Su,,10012030392682800000000 
"別對每件事都有反應: 淡泊一點也無妨, 活出快意人生的99個禪練習! (限量暢銷特典版)",4711510763342 ,枡野俊明,,10012122082682800000000 
日本語GOGOGO 1 練習帳 (增訂版),9786269542109 ,財團法人語言訓練測驗中心,,1001129492682150000000 
區判: 品味與美學的知識漫畫,9786267645017 ,皮耶．布赫迪厄/ 蒂法恩．里维埃,,10012043902682800000000 
葬送的芙莉蓮 2,9789572666036 ,山田鐘人/ 原作; 阿部司,,1001129222682030000000 
